t	N	x	epsilon
0	1.0000000000000133	0.4999999999869597	4.9343969434044235
0.024999999999999904	1.000000000891815	0.49990278365210855	4.93452919119285
0.050000000000000405	1.0000000037011243	0.49935717154283316	4.934684739621042
0.07500000000000112	1.0000000080376763	0.49840774508001523	4.935666292218734
0.10000000000000184	1.0000000135417484	0.4975855158564403	4.937584021578262
0.12500000000000255	1.0000000204264397	0.4974724310905687	4.938284572689272
0.1499999999999998	1.0000000278824344	0.4982260049121145	4.93697445379707
0.17499999999999705	1.0000000351579295	0.49941866512250443	4.935841966724278
0.1999999999999943	1.000000042363094	0.5003683265436184	4.9357108185902385
0.22499999999999154	1.0000000489140655	0.5007203613265907	4.935322790575936
0.2499999999999888	1.0000000542439664	0.5007059846900136	4.934533423240936
0.27499999999998603	1.000000058172578	0.500834204971423	4.934001409087866
0.2999999999999833	1.0000000602838295	0.50137482266358	4.934254506996994
0.3249999999999805	1.0000000607580233	0.5020870024265396	4.935725282839489
0.3499999999999778	1.000000059518031	0.5023828290519288	4.937133496956488
0.374999999999975	1.0000000561115292	0.5018358622547827	4.936674666086853
0.39999999999997227	1.000000051294819	0.50061197126261	4.935507465435938
0.4249999999999695	1.0000000455466387	0.49936220864753644	4.9353938741867545
0.44999999999996676	1.0000000385868009	0.49867384944965976	4.935281984142647
0.474999999999964	1.0000000310771566	0.49863164303289703	4.934164464272331
0.49999999999996125	1.000000023670985	0.4988303095675575	4.933068054764812
0.5249999999999585	1.0000000166612113	0.49877314666245726	4.932920529361118
0.5499999999999557	1.0000000105536209	0.49835826140735207	4.933991326558777
0.574999999999953	1.0000000054433458	0.49801742796556175	4.935800875123292
0.5999999999999502	1.000000001855197	0.4983084718136588	4.936603246443205
0.6249999999999475	1.0000000003786054	0.4993604452986599	4.93614537748233
0.6499999999999447	1.0000000004275478	0.5007281149472776	4.936329097748976
0.674999999999942	1.0000000020537214	0.5017313667714267	4.937039466365278
0.6999999999999392	1.0000000057909295	0.5019644058786039	4.936383007308321
